week,start_date,mean_excess_5d,hit_rate_excess,n_picks
2018-02-06/2018-02-12,2018-02-06,-0.008004750422014761,0.0,1
2018-02-13/2018-02-19,2018-02-14,0.02062661675611377,1.0,1
2018-02-20/2018-02-26,2018-02-20,0.018549234910964385,1.0,1
2018-02-27/2018-03-05,2018-03-05,0.00806949918089539,1.0,2
2018-03-06/2018-03-12,2018-03-06,0.0060111844345343,1.0,5
2018-03-13/2018-03-19,2018-03-13,0.00845675837174913,0.8,5
2018-03-20/2018-03-26,2018-03-20,0.031215427399646112,1.0,1
2018-04-17/2018-04-23,2018-04-20,-0.011520019510809831,0.0,1
2018-04-24/2018-04-30,2018-04-24,-0.04271914067129623,0.0,1
2018-05-01/2018-05-07,2018-05-01,-0.000919078230429804,0.0,1
2018-05-08/2018-05-14,2018-05-08,-0.025877434111377107,0.0,1
2018-05-15/2018-05-21,2018-05-18,0.009161840216970418,1.0,1
2018-05-22/2018-05-28,2018-05-22,0.0012736086932695345,1.0,2
2018-05-29/2018-06-04,2018-05-29,0.024942315126345815,1.0,2
2018-06-05/2018-06-11,2018-06-07,-0.005705892784326094,0.0,1
2018-06-12/2018-06-18,2018-06-18,-0.027177706636886234,0.0,1
2018-06-19/2018-06-25,2018-06-19,-0.014800424676278512,0.0,1
2018-07-24/2018-07-30,2018-07-25,-0.02726131343895083,0.0,2
2018-07-31/2018-08-06,2018-07-31,-0.03571435380740706,0.0,1
2018-08-07/2018-08-13,2018-08-07,-0.01878762585217797,0.0,1
2018-08-14/2018-08-20,2018-08-15,0.007299020523289013,1.0,1
2018-08-21/2018-08-27,2018-08-21,0.009167725503783197,1.0,1
2018-08-28/2018-09-03,2018-08-28,0.009521687208893986,0.75,4
2018-09-04/2018-09-10,2018-09-04,-0.02363075399026134,0.0,3
2018-09-11/2018-09-17,2018-09-11,-0.01966851115248014,0.0,1
2018-09-18/2018-09-24,2018-09-20,-0.012784256084296897,0.0,1
2018-09-25/2018-10-01,2018-10-01,0.022505801678764703,1.0,1
2018-10-02/2018-10-08,2018-10-02,-0.004245838426498283,0.5,2
2018-10-09/2018-10-15,2018-10-09,-0.034648452609428226,0.0,2
2018-10-30/2018-11-05,2018-11-05,0.019446773778771353,1.0,1
2018-11-06/2018-11-12,2018-11-06,0.03254082434263583,1.0,1
2018-11-13/2018-11-19,2018-11-13,0.021041038739927465,1.0,2
2018-11-27/2018-12-03,2018-11-28,-0.012464733742154455,0.0,2
2019-01-15/2019-01-21,2019-01-15,0.006330848150788659,1.0,1
2019-01-22/2019-01-28,2019-01-22,-0.0032969855665989866,0.4,5
2019-01-29/2019-02-04,2019-01-29,0.003453603852673459,0.3333333333333333,3
2019-02-05/2019-02-11,2019-02-05,-0.007167773191970528,0.4,5
2019-02-12/2019-02-18,2019-02-12,-0.009461234748320191,0.2,5
2019-02-19/2019-02-25,2019-02-19,0.01584879729909261,1.0,3
2019-02-26/2019-03-04,2019-02-26,0.006047511122095406,0.8,5
2019-03-05/2019-03-11,2019-03-11,0.016653404248594184,1.0,1
2019-03-12/2019-03-18,2019-03-12,0.0707473005635244,1.0,1
2019-03-19/2019-03-25,2019-03-19,0.01113442529771047,1.0,1
2019-03-26/2019-04-01,2019-03-26,0.017405723444469334,1.0,1
2019-04-02/2019-04-08,2019-04-02,0.0265403136931045,1.0,2
2019-04-09/2019-04-15,2019-04-09,-0.013320186738004947,0.0,2
2019-04-16/2019-04-22,2019-04-16,0.018383453801098515,1.0,2
2019-04-23/2019-04-29,2019-04-23,-0.02231862454494593,0.75,4
2019-04-30/2019-05-06,2019-04-30,-0.004409285771662663,0.0,2
2019-05-07/2019-05-13,2019-05-07,0.013934384534106448,1.0,1
2019-06-11/2019-06-17,2019-06-11,-0.03067561514760153,0.0,1
2019-06-18/2019-06-24,2019-06-20,-0.005286997405694827,0.0,1
2019-06-25/2019-07-01,2019-06-26,-0.012596751833441036,0.0,3
2019-07-02/2019-07-08,2019-07-02,-0.003809971967389192,0.4,5
2019-07-09/2019-07-15,2019-07-11,0.020830317802170817,1.0,2
2019-07-16/2019-07-22,2019-07-16,0.033913428412090774,1.0,2
2019-07-23/2019-07-29,2019-07-23,0.0015913847892888855,0.5,2
2019-09-03/2019-09-09,2019-09-09,-0.004697301424839262,0.5,2
2019-09-10/2019-09-16,2019-09-10,0.0003895045107956463,0.4,5
2019-09-17/2019-09-23,2019-09-17,-0.007966645032636666,0.3333333333333333,3
2019-09-24/2019-09-30,2019-09-24,-0.019843345059137985,0.0,1
2019-10-15/2019-10-21,2019-10-18,-0.0022549506979565037,0.5,2
2019-10-22/2019-10-28,2019-10-22,0.006790675201514033,0.3333333333333333,3
2019-10-29/2019-11-04,2019-10-29,0.007956166782687818,0.75,4
2019-11-05/2019-11-11,2019-11-05,-0.009160521319303606,0.2,5
2019-11-12/2019-11-18,2019-11-12,-0.012699939679636979,0.25,4
2019-11-19/2019-11-25,2019-11-19,-0.001666523345177784,0.6,5
2019-11-26/2019-12-02,2019-11-26,-0.00643284742020972,0.5,2
2019-12-03/2019-12-09,2019-12-03,-0.016472126400997766,0.0,2
2019-12-10/2019-12-16,2019-12-10,0.019909812485961575,1.0,1
2019-12-17/2019-12-23,2019-12-18,0.03169462951450153,1.0,1
2019-12-24/2019-12-30,2019-12-26,-0.01140286677894431,0.0,1
2019-12-31/2020-01-06,2019-12-31,0.018991499317634775,1.0,2
2020-01-07/2020-01-13,2020-01-07,0.023140411092658592,1.0,3
2020-01-14/2020-01-20,2020-01-14,-0.0015601017125537926,0.3333333333333333,3
2020-01-21/2020-01-27,2020-01-21,0.002996681949859359,0.6666666666666666,3
2020-01-28/2020-02-03,2020-01-28,-0.0053683632988426044,0.5,2
