Date,avg_fwd_r5,hit_rate,strategy
2017-09-08,0.030127699844207444,1.0,random
2017-09-11,-0.0004524095204721856,0.4,random
2017-09-12,0.025984013417811515,0.8,random
2017-09-13,0.004180273201715745,0.4,random
2017-09-14,-0.005270545312398655,0.4,random
2017-09-15,0.004930132413456412,0.8,random
2017-09-18,0.0003082028602587883,0.4,random
2017-09-19,-0.01620300525496978,0.4,random
2017-09-20,-0.007306889357575419,0.4,random
2017-09-21,-0.013044953741316445,0.0,random
2017-09-22,-0.007124165707869934,0.2,random
2017-09-25,0.007239396221848793,0.6,random
2017-09-26,0.012051227166605538,0.8,random
2017-09-27,0.01819156590911315,1.0,random
2017-09-28,0.025168411010523296,1.0,random
2017-09-29,0.01644698930689161,1.0,random
2017-10-02,0.008556240442031049,0.6,random
2017-10-03,0.0031297306255480438,0.4,random
2017-10-04,0.0023227694003165487,0.4,random
2017-10-05,0.02124403837962281,1.0,random
2017-10-06,-0.0007009851350718854,0.6,random
2017-10-09,0.001878927119439,0.4,random
2017-10-10,0.023570513553643348,1.0,random
2017-10-11,0.027921668194370676,1.0,random
2017-10-12,0.009007255959988724,0.6,random
2017-10-13,-8.967557773451596e-05,0.4,random
2017-10-16,0.01033445839430953,0.6,random
2017-10-17,0.009111506878348274,0.6,random
2017-10-18,-0.006799422151126522,0.2,random
2017-10-19,0.019286043089482653,0.8,random
2017-10-20,0.006640717224184245,0.2,random
2017-10-23,0.014968672048817777,0.6,random
2017-10-24,0.01428285843857371,0.4,random
2017-10-25,-0.013178237042303764,0.4,random
2017-10-26,-0.017071047984389076,0.2,random
2017-10-27,-0.000297646040994004,0.6,random
2017-10-30,0.026161890352558892,0.8,random
2017-10-31,0.0020911094705528656,0.4,random
2017-11-01,0.009691669760003485,0.8,random
2017-11-02,0.004129872603532281,0.6,random
2017-11-03,0.007387772876576504,0.8,random
2017-11-06,-0.013566115439304083,0.2,random
2017-11-07,0.00068855837297086,0.4,random
2017-11-08,-0.005007388240939692,0.4,random
2017-11-09,0.018755589360563894,1.0,random
2017-11-10,0.015886913762493737,0.8,random
2017-11-13,0.013118263520603168,0.4,random
2017-11-14,-0.011253948974568684,0.2,random
2017-11-15,0.018102114542752477,0.8,random
2017-11-16,-0.004336894951928083,0.2,random
2017-11-17,0.026844651391814533,1.0,random
2017-11-20,0.022450760069279995,1.0,random
2017-11-21,-0.0012971376361219367,0.8,random
2017-11-22,0.0506206203696173,1.0,random
2017-11-24,0.041627381168962474,0.8,random
2017-11-27,0.021030626415871567,0.8,random
2017-11-28,-0.020316860244739533,0.4,random
2017-11-29,-0.001148979574774045,0.4,random
2017-11-30,-0.00817968813341361,0.4,random
2017-12-01,-0.005453845592812279,0.4,random
2017-12-04,0.009071255441177706,0.8,random
2017-12-05,0.016534372597480605,0.6,random
2017-12-06,-0.0016349135676413829,0.4,random
2017-12-07,0.006995282891454946,0.8,random
2017-12-08,0.014437317548989404,0.8,random
2017-12-11,0.014750600355961607,0.6,random
2017-12-12,0.013496252795228236,0.6,random
2017-12-13,-0.002937585309274837,0.4,random
2017-12-14,0.01693265910131019,0.8,random
2017-12-15,0.006956048849308205,0.4,random
2017-12-18,-0.006597447129880596,0.0,random
2017-12-19,0.005863369874031443,0.8,random
2017-12-20,0.0051977866164987,0.6,random
2017-12-21,-0.011059295744240537,0.2,random
2017-12-22,0.003610389742997944,0.8,random
2017-12-26,0.006832498957641464,0.8,random
2017-12-27,0.005889788793421924,0.6,random
2017-12-28,0.021895889659552404,0.8,random
2017-12-29,0.013823359932719947,0.6,random
2018-01-02,0.016738027204022444,0.8,random
2018-01-03,0.019991882856736344,0.8,random
2018-01-04,0.0025043949008645818,0.4,random
2018-01-05,0.015204742401466964,0.8,random
2018-01-08,0.0070258380903760465,0.6,random
2018-01-09,0.017804531426873327,1.0,random
2018-01-10,0.0481352401321117,1.0,random
2018-01-11,0.026282177486967973,0.8,random
2018-01-12,0.02609088353846689,0.6,random
2018-01-16,0.0010048521248340104,0.6,random
2018-01-17,0.03098924320334484,0.8,random
2018-01-18,0.03397621492870284,1.0,random
2018-01-19,0.025617074057875344,1.0,random
2018-01-22,0.016155081080661614,0.8,random
2018-01-23,-0.013298522238618516,0.4,random
2018-01-24,-0.01486566562676812,0.2,random
2018-01-25,-0.0018172958796185633,0.4,random
2018-01-26,-0.032273596725981867,0.2,random
2018-01-29,-0.07623692769227945,0.0,random
2018-01-30,-0.051071796506592035,0.0,random
2018-01-31,-0.05003787239913584,0.0,random
2018-02-01,-0.09141431979473384,0.0,random
2018-02-02,-0.058179370912853655,0.0,random
2018-02-05,0.020447743670219464,0.8,random
2018-02-06,-0.0029954770094403173,0.8,random
2018-02-07,0.00023179992651682911,0.4,random
2018-02-08,0.03624104419667877,1.0,random
2018-02-09,0.02862184394244751,0.8,random
2018-02-12,0.008445216115705523,0.6,random
2018-02-13,0.009851578243735792,0.6,random
2018-02-14,0.002218511993535177,0.8,random
2018-02-15,0.0022671582449952598,0.8,random
2018-02-16,0.011572388094409325,0.8,random
2018-02-20,0.008247108082722731,0.8,random
2018-02-21,0.006258964169665093,0.4,random
2018-02-22,-0.010885152783627606,0.4,random
2018-02-23,-0.010451267899120186,0.4,random
2018-02-26,-0.04747872558143473,0.0,random
2018-02-27,0.012601135459697743,0.8,random
2018-02-28,0.0021400154282035454,0.6,random
2018-03-01,0.0024429600120798645,0.6,random
2018-03-02,0.03704760076207005,1.0,random
2018-03-05,0.030939339700052804,1.0,random
2018-03-06,0.021342802811372664,0.8,random
2018-03-07,0.011677846150275428,0.6,random
2018-03-08,0.003312320280892611,0.6,random
2018-03-09,-0.00589125643089754,0.2,random
2018-03-12,-0.012037818140518696,0.2,random
2018-03-13,-0.0034997408448606882,0.4,random
