week,start_date,mean_excess_5d,n_picks,cum_excess
2020-09-15/2020-09-21,2020-09-15,0.013519134557464785,1.0,0.2934500590951885
2020-09-22/2020-09-28,,0.0,0.0,0.2934500590951885
2020-09-29/2020-10-05,,0.0,0.0,0.2934500590951885
2020-10-06/2020-10-12,2020-10-06,-0.00812787879783805,1.0,0.2829370537838063
2020-10-13/2020-10-19,,0.0,0.0,0.2829370537838063
2020-10-20/2020-10-26,,0.0,0.0,0.2829370537838063
2020-10-27/2020-11-02,,0.0,0.0,0.2829370537838063
2020-11-03/2020-11-09,,0.0,0.0,0.2829370537838063
2020-11-10/2020-11-16,2020-11-10,0.010561652746961053,4.0,0.2964869894420801
2020-11-17/2020-11-23,2020-11-17,0.04512898318637526,5.0,0.3549961289899659
2020-11-24/2020-11-30,2020-11-24,-0.01569634483372271,5.0,0.33372764250097986
2020-12-01/2020-12-07,2020-12-01,0.03213581323699573,5.0,0.37658806492941
2020-12-08/2020-12-14,2020-12-08,-0.013667331349178488,3.0,0.3577737797146954
2020-12-15/2020-12-21,2020-12-15,-0.013706007598652481,1.0,0.33916412197267465
2020-12-22/2020-12-28,2020-12-22,0.02548787949837017,2.0,0.37329657574205477
2020-12-29/2021-01-04,2020-12-29,0.004638605229848158,1.0,0.37966675642042436
2021-01-05/2021-01-11,2021-01-05,-0.033766181866427214,1.0,0.3330806778080686
2021-01-12/2021-01-18,2021-01-12,-0.048095826795160945,2.0,0.26896506042423596
2021-01-19/2021-01-25,2021-01-19,-0.05811564849276796,2.0,0.19521833302301705
2021-01-26/2021-02-01,2021-01-26,0.056370920036958205,1.0,0.262593890100564
2021-02-02/2021-02-08,2021-02-02,-0.009353507693704799,1.0,0.25078420843548366
2021-02-09/2021-02-15,,0.0,0.0,0.25078420843548366
2021-02-16/2021-02-22,2021-02-16,-0.052566458344855516,2.0,0.18503491244435666
2021-02-23/2021-03-01,2021-02-23,-0.017324517023923125,1.0,0.16450475492977112
2021-03-02/2021-03-08,2021-03-02,0.023679132048097663,5.0,0.1920792167923906
2021-03-09/2021-03-15,2021-03-09,-0.039560344010918014,1.0,0.1449201528878179
2021-03-16/2021-03-22,2021-03-16,-0.03749726473231535,2.0,0.10198877881762058
2021-03-23/2021-03-29,,0.0,0.0,0.10198877881762058
2021-03-30/2021-04-05,2021-03-30,-0.004949058381625848,1.0,0.09653497201535566
2021-04-06/2021-04-12,2021-04-06,0.05953004198146716,2.0,0.16181174493357675
2021-04-13/2021-04-19,2021-04-13,-0.008980693249779348,2.0,0.15137787003833747
2021-04-20/2021-04-26,2021-04-20,0.000894890624312028,1.0,0.15240822729927506
2021-04-27/2021-05-03,2021-04-27,-0.06244433842538477,1.0,0.08044685794960138
2021-05-04/2021-05-10,,0.0,0.0,0.08044685794960138
2021-05-11/2021-05-17,,0.0,0.0,0.08044685794960138
2021-05-18/2021-05-24,,0.0,0.0,0.08044685794960138
2021-05-25/2021-05-31,,0.0,0.0,0.08044685794960138
2021-06-01/2021-06-07,,0.0,0.0,0.08044685794960138
2021-06-08/2021-06-14,2021-06-08,0.013779622415355464,1.0,0.09533500769200409
2021-06-15/2021-06-21,2021-06-15,0.06496683344723875,1.0,0.16649545470566052
2021-06-22/2021-06-28,2021-06-22,0.049511540425599465,1.0,0.22425044156759788
2021-06-29/2021-07-05,2021-06-29,0.006305977720101885,2.0,0.2319705375759482
2021-07-06/2021-07-12,2021-07-06,-0.01235649061975086,2.0,0.21674770518458164
2021-07-13/2021-07-19,2021-07-13,-0.0010489868001101188,1.0,0.21547135290277875
2021-07-20/2021-07-26,2021-07-20,0.011793708351121701,1.0,0.22980626754805744
2021-07-27/2021-08-02,,0.0,0.0,0.22980626754805744
2021-08-03/2021-08-09,,0.0,0.0,0.22980626754805744
2021-08-10/2021-08-16,,0.0,0.0,0.22980626754805744
2021-08-17/2021-08-23,,0.0,0.0,0.22980626754805744
2021-08-24/2021-08-30,,0.0,0.0,0.22980626754805744
2021-08-31/2021-09-06,,0.0,0.0,0.22980626754805744
2021-09-07/2021-09-13,,0.0,0.0,0.22980626754805744
2021-09-14/2021-09-20,,0.0,0.0,0.22980626754805744
2021-09-21/2021-09-27,,0.0,0.0,0.22980626754805744
2021-09-28/2021-10-04,,0.0,0.0,0.22980626754805744
2021-10-05/2021-10-11,,0.0,0.0,0.22980626754805744
2021-10-12/2021-10-18,,0.0,0.0,0.22980626754805744
2021-10-19/2021-10-25,2021-10-19,0.009680757369988191,1.0,0.2417117236362809
2021-10-26/2021-11-01,2021-10-26,0.055103784778839815,1.0,0.3101347392128968
2021-11-02/2021-11-08,2021-11-02,0.07297154915754533,2.0,0.40573730073837844
2021-11-09/2021-11-15,2021-11-09,-0.02733060967848394,2.0,0.36731764326141225
2021-11-16/2021-11-22,2021-11-16,0.05341038002677634,1.0,0.4403465982053203
2021-11-23/2021-11-29,2021-11-23,0.02798727507516685,1.0,0.4806579746528734
2021-11-30/2021-12-06,2021-11-30,-0.03554197051821417,1.0,0.42803247257020227
2021-12-07/2021-12-13,,0.0,0.0,0.42803247257020227
2021-12-14/2021-12-20,2021-12-14,-0.007039131930206666,1.0,0.41798036359516133
2021-12-21/2021-12-27,,0.0,0.0,0.41798036359516133
2021-12-28/2022-01-03,,0.0,0.0,0.41798036359516133
2022-01-04/2022-01-10,2022-01-04,-0.02098015492429972,1.0,0.38823091588732006
2022-01-11/2022-01-17,,0.0,0.0,0.38823091588732006
2022-01-18/2022-01-24,2022-01-18,-0.044691537532981496,1.0,0.32618874180549673
2022-01-25/2022-01-31,,0.0,0.0,0.32618874180549673
2022-02-01/2022-02-07,,0.0,0.0,0.32618874180549673
2022-02-08/2022-02-14,,0.0,0.0,0.32618874180549673
2022-02-15/2022-02-21,2022-02-15,0.008525166995825062,1.0,0.33749472229737165
2022-02-22/2022-02-28,2022-02-22,-0.0756790652312972,1.0,0.2362743719621132
2022-03-01/2022-03-07,,0.0,0.0,0.2362743719621132
2022-03-08/2022-03-14,2022-03-08,-0.09566673237007062,1.0,0.1180040424836366
2022-03-15/2022-03-21,2022-03-15,-0.018247467553525132,1.0,0.09760329999370643
2022-03-22/2022-03-28,2022-03-22,-0.02965042836496612,2.0,0.06505889197409265
2022-03-29/2022-04-04,2022-03-29,-0.03610941397875356,2.0,0.026600239532047487
2022-04-05/2022-04-11,2022-04-05,-0.05534815381280285,5.0,-0.03022018842983254
2022-04-12/2022-04-18,,0.0,0.0,-0.03022018842983254
2022-04-19/2022-04-25,,0.0,0.0,-0.03022018842983254
2022-04-26/2022-05-02,,0.0,0.0,-0.03022018842983254
2022-05-03/2022-05-09,,0.0,0.0,-0.03022018842983254
2022-05-10/2022-05-16,,0.0,0.0,-0.03022018842983254
2022-05-17/2022-05-23,,0.0,0.0,-0.03022018842983254
2022-05-24/2022-05-30,,0.0,0.0,-0.03022018842983254
2022-05-31/2022-06-06,,0.0,0.0,-0.03022018842983254
2022-06-07/2022-06-13,,0.0,0.0,-0.03022018842983254
2022-06-14/2022-06-20,,0.0,0.0,-0.03022018842983254
2022-06-21/2022-06-27,,0.0,0.0,-0.03022018842983254
2022-06-28/2022-07-04,,0.0,0.0,-0.03022018842983254
2022-07-05/2022-07-11,,0.0,0.0,-0.03022018842983254
2022-07-12/2022-07-18,2022-07-12,0.03098658326289505,1.0,-0.00017002555193890156
2022-07-19/2022-07-25,2022-07-19,3.121007341710946e-05,1.0,-0.00013882078503169026
2022-07-26/2022-08-01,,0.0,0.0,-0.00013882078503169026
2022-08-02/2022-08-08,2022-08-02,-0.021648466055674425,3.0,-0.02178428158365353
2022-08-09/2022-08-15,2022-08-09,0.042251752682576305,3.0,0.019547047021082564
2022-08-16/2022-08-22,2022-08-16,-0.03857715400679296,2.0,-0.01978417642902075
2022-08-23/2022-08-29,2022-08-23,0.013135099754612911,1.0,-0.006908943805365886
2022-08-30/2022-09-05,,0.0,0.0,-0.006908943805365886
2022-09-06/2022-09-12,,0.0,0.0,-0.006908943805365886
2022-09-13/2022-09-19,,0.0,0.0,-0.006908943805365886
2022-09-20/2022-09-26,,0.0,0.0,-0.006908943805365886
2022-09-27/2022-10-03,,0.0,0.0,-0.006908943805365886
2022-10-04/2022-10-10,,0.0,0.0,-0.006908943805365886
2022-10-11/2022-10-17,,0.0,0.0,-0.006908943805365886
2022-10-18/2022-10-24,,0.0,0.0,-0.006908943805365886
2022-10-25/2022-10-31,2022-10-25,0.045682869365451365,5.0,0.038458305182771824
