Date,mean_excess_5d,hit_rate_excess,n_picks
2020-11-18,0.04033536463555758,1.0,5
2020-11-19,0.031117163706844142,1.0,5
2020-11-20,0.01376737815609439,0.6,5
2020-11-23,-0.017473272376399417,0.2,5
2020-11-24,-0.01569634483372271,0.4,5
2020-11-25,0.005251372351134842,0.4,5
2020-11-27,0.014647490549334207,0.6,5
2020-11-30,0.03858678791513084,1.0,5
2020-12-01,0.03213581323699573,1.0,5
2020-12-02,0.012812411993342997,0.8,5
2020-12-03,0.0036747912405377336,0.4,5
2020-12-04,0.02581006362574214,0.6,5
2020-12-07,0.010230565420438454,0.4,5
2020-12-08,-0.004646360538973849,0.6,5
2020-12-09,-0.009329995570166394,0.25,4
2020-12-10,-0.010196129909308427,0.2,5
2020-12-11,-0.024811835818394613,0.4,5
2020-12-14,-0.04675752672200809,0.0,3
2020-12-15,-0.027028919424483044,0.0,2
2020-12-16,-0.03623737117345244,0.5,2
2020-12-17,-0.02611799224775485,0.5,2
2020-12-18,0.003444393945369384,0.5,2
2020-12-21,0.01158028446571846,0.5,2
2020-12-22,0.02548787949837017,1.0,2
2020-12-23,0.011420369855544843,0.5,2
2020-12-24,0.0022381243618080915,0.5,2
2020-12-28,0.0021844799722150845,0.3333333333333333,3
2020-12-29,0.01293580216282538,0.6666666666666666,3
2020-12-30,0.035792874812014486,0.5,2
2020-12-31,0.023387537151222104,0.5,2
2021-01-04,0.03151949033836998,0.5,2
2021-01-05,0.030825949652730222,0.5,2
2021-01-06,0.005371114063652538,0.5,2
2021-01-07,0.023616195601380285,0.6666666666666666,3
2021-01-08,0.02003925740611127,0.6666666666666666,3
2021-01-11,-0.012211166763168727,0.6666666666666666,3
2021-01-12,-0.04534430921845863,0.0,3
2021-01-13,-0.013282272375916171,0.25,4
2021-01-14,-0.06368420732033069,0.0,3
2021-01-15,-0.07109451549683166,0.0,3
2021-01-19,-0.059248406748918216,0.0,3
2021-01-20,-0.04371851083059867,0.0,3
2021-01-21,-0.05874523718582558,0.0,2
2021-01-22,-0.020403782787587144,0.3333333333333333,3
2021-01-25,0.017821998492053293,0.5,2
2021-01-26,0.004033137312706436,0.5,2
2021-01-28,0.025843128280468752,1.0,1
2021-01-29,0.0004328648968128235,1.0,1
2021-02-01,0.005614815585401667,1.0,1
2021-02-02,-0.007184457648869991,0.0,2
2021-02-03,-0.01169441821833972,0.0,2
2021-02-04,0.0068807248568991675,0.6666666666666666,3
2021-02-05,0.02424026717411376,0.5,2
2021-02-08,0.0259276891329262,1.0,2
2021-02-09,0.021512584569120752,0.5,2
2021-02-10,0.023717124875422324,1.0,2
