week,start_date,mean_excess_5d,hit_rate_excess,n_picks
2017-10-31/2017-11-06,2017-10-31,0.0173504108073624,1.0,3
2017-11-07/2017-11-13,2017-11-07,-0.016032502488322997,0.0,1
2017-11-14/2017-11-20,2017-11-14,-0.028829884124679017,0.0,1
2017-11-21/2017-11-27,2017-11-21,0.00865188088206148,1.0,1
2017-12-05/2017-12-11,2017-12-11,0.020102023753199694,1.0,1
2017-12-12/2017-12-18,2017-12-12,-0.008230063057209636,0.0,1
2018-01-02/2018-01-08,2018-01-05,0.03503597597854147,1.0,1
2018-01-09/2018-01-15,2018-01-09,-0.005985365110947827,0.0,2
2018-01-16/2018-01-22,2018-01-16,0.020241927656048486,0.5,2
2018-01-23/2018-01-29,2018-01-23,0.04099938324333585,1.0,2
2018-01-30/2018-02-05,2018-01-30,0.011262943509619205,0.5,2
2018-02-06/2018-02-12,2018-02-06,-0.008004750422014761,0.0,1
2018-03-06/2018-03-12,2018-03-06,0.00400308637361424,1.0,1
2018-03-13/2018-03-19,2018-03-13,0.012278342635327066,1.0,2
2018-05-01/2018-05-07,2018-05-07,0.004158379528366618,1.0,1
2018-05-22/2018-05-28,2018-05-23,0.0009423192981159456,1.0,1
2018-08-28/2018-09-03,2018-08-28,0.0357052667899771,1.0,1
2018-11-06/2018-11-12,2018-11-08,0.053702620940898615,1.0,1
2018-11-13/2018-11-19,2018-11-13,0.014527609470139535,1.0,1
2019-01-15/2019-01-21,2019-01-16,-0.006194063702070984,0.0,1
2019-01-22/2019-01-28,2019-01-22,-0.007961928775671367,0.3333333333333333,3
2019-01-29/2019-02-04,2019-01-29,0.003453603852673459,0.3333333333333333,3
2019-02-05/2019-02-11,2019-02-05,-0.012447638482338041,0.0,2
2019-02-12/2019-02-18,2019-02-12,0.010644117021606725,1.0,1
2019-02-19/2019-02-25,2019-02-20,0.030112291309288386,1.0,1
2019-02-26/2019-03-04,2019-02-26,0.008923778386571324,1.0,1
2019-03-19/2019-03-25,2019-03-21,-0.022251780952379563,0.0,1
2019-03-26/2019-04-01,2019-04-01,0.04181660852290414,1.0,1
2019-04-02/2019-04-08,2019-04-02,0.029521932531254347,1.0,1
2019-04-09/2019-04-15,2019-04-09,-0.015467620276614191,0.0,1
2019-04-16/2019-04-22,2019-04-16,0.03289686858187535,1.0,1
2019-04-23/2019-04-29,2019-04-23,0.02317726565220224,1.0,1
2019-04-30/2019-05-06,2019-04-30,-0.005059192740374918,0.0,1
2019-05-07/2019-05-13,2019-05-07,0.013934384534106448,1.0,1
2019-06-25/2019-07-01,2019-06-27,-0.04225539930862565,0.0,1
2019-07-02/2019-07-08,2019-07-03,0.01998288796544423,1.0,1
2019-07-09/2019-07-15,2019-07-15,0.03368872289781044,1.0,1
2019-07-16/2019-07-22,2019-07-16,0.050518688107800136,1.0,1
2019-07-23/2019-07-29,2019-07-23,-0.003495264248663865,0.0,1
