Date,mean_excess_5d,hit_rate_excess,n_picks
2019-05-13,0.013938529431485703,0.6,5
2019-05-14,-0.024292683794639003,0.0,2
2019-05-15,-0.041072791970703404,0.0,2
2019-05-28,0.0007496473486923172,1.0,1
2019-05-29,0.016999461876566535,1.0,3
2019-05-30,0.008432236103983989,0.6666666666666666,3
2019-05-31,0.016981375420106026,1.0,4
2019-06-03,0.01733230543167157,0.8,5
2019-06-04,-0.01898612200453842,0.0,1
2019-06-14,0.029143704391986214,1.0,1
2019-07-11,0.022467911947863684,1.0,1
2019-07-12,0.007130165005795719,0.5,2
2019-07-15,-0.011509611857138502,0.5,2
2019-07-16,-0.011948832708123636,0.5,2
2019-07-17,-0.02820131098975187,0.0,1
2019-07-18,-0.011108561836117303,0.0,1
2019-07-22,0.008470695404886616,0.6666666666666666,3
2019-07-23,-0.001486251951341444,0.0,1
2019-07-24,0.03323822011532446,1.0,2
2019-07-26,0.01532361018499151,1.0,1
2019-07-29,0.03162003918946954,1.0,1
2019-08-01,0.002694112805512572,1.0,1
2019-08-02,0.007457986443400988,0.6,5
2019-08-05,0.014890460113854819,0.8,5
2019-08-06,-0.005726010214161836,0.4,5
2019-08-07,-0.000423412562801051,0.4,5
2019-08-08,-0.027837165586574453,0.0,1
2019-08-09,-0.007911169927624306,0.0,1
2019-08-14,-0.007259131213532388,0.0,1
2019-08-15,0.013386447454992234,0.5,4
2019-08-16,0.007401497506802468,1.0,2
2019-08-19,-0.01405402859281446,0.0,1
2019-08-20,-0.0020839649863372833,0.5,2
2019-08-23,0.0028513027717491646,0.3333333333333333,3
2019-08-26,0.007657976590777771,0.5,2
2019-08-27,-0.007948223244118813,0.0,1
2019-09-09,-0.023824454116368132,0.0,1
2019-09-10,-0.003933943647044913,0.5,2
2019-09-11,0.0042949232650838125,0.3333333333333333,3
2019-09-12,-0.004030900234598345,0.0,2
2019-09-13,0.007715805353176996,0.6,5
2019-09-16,0.026458000608785337,1.0,1
2019-09-26,0.02159796336111064,1.0,1
2019-09-27,-0.005925427156970642,0.5,2
2019-09-30,-0.032591384776002874,0.0,1
2019-10-01,-0.02100389562493732,0.0,1
2019-10-02,0.002551143071982731,0.25,4
2019-10-03,0.0014475774834737571,0.6666666666666666,3
2019-10-07,0.012833440069160817,0.5,2
2019-10-08,-0.01681446035730283,0.0,1
2019-10-15,0.0420565238226267,1.0,1
2019-10-16,0.04158149703007186,1.0,1
2019-10-17,0.06632281705136633,1.0,1
2019-10-18,0.0035341488304856026,0.3333333333333333,3
2019-10-21,0.016582182949954838,1.0,2
2019-10-22,0.0023840488775515476,0.6,5
2019-10-23,-0.003078408283043821,0.4,5
2019-10-24,0.002232727858332062,0.3333333333333333,3
2019-10-25,-0.021838736242107304,0.0,3
2019-10-28,-0.02015413709162635,0.0,3
2019-10-29,-0.01038049855124984,0.0,2
2019-11-04,-0.0010047681478464465,0.0,1
2019-11-05,-0.003304497512705451,0.0,1
2019-11-06,-0.0037698351082073867,0.0,1
2019-11-07,0.0068907111287526135,1.0,3
2019-11-08,-0.0013110456901475054,0.0,2
2019-11-14,-0.003884627180984368,0.0,1
2019-11-15,-0.0026606222516931677,0.0,1
2019-11-18,0.002317835708507854,1.0,1
2019-11-19,-0.010411352802835228,0.0,1
2019-11-20,-0.008628057216504725,0.0,2
2019-11-21,-0.0040065713252182,0.0,1
2019-11-22,-0.004067343051524341,0.0,1
2019-11-25,-0.007956406335687727,0.0,1
2019-12-04,-0.006178381618495266,0.0,1
2019-12-05,-0.02088428052059832,0.0,1
2019-12-16,0.026879544210263395,1.0,1
2020-01-06,0.004035061831657583,1.0,1
2020-01-07,-0.017885364577214458,0.0,1
2020-01-09,0.0008615694452784872,1.0,1
2020-01-10,-0.02654399420335074,0.0,1
2020-01-22,0.05638107683077864,1.0,1
2020-01-24,-0.002532295048360574,0.3333333333333333,3
2020-01-27,-0.002579751438153988,0.4,5
2020-01-28,-0.017305074948074473,0.4,5
2020-01-29,0.022853110530642075,0.6,5
2020-01-30,0.03340792709304374,0.75,4
2020-01-31,-0.005128475345462169,0.4,5
2020-02-03,-0.002350225599697997,0.5,2
2020-02-04,-0.01197938474251159,0.0,1
2020-02-06,0.012251536377199335,1.0,1
2020-02-11,-0.047309999601404695,0.0,1
2020-02-12,0.026747361000632353,1.0,1
2020-02-13,0.015135019982829956,1.0,1
2020-02-18,0.051411267626732815,1.0,2
2020-02-19,0.022157400369914038,0.5,2
2020-02-20,-0.028307466211282217,0.0,1
2020-02-21,0.0017992770113643974,0.5,2
2020-02-24,0.00841321686263139,0.8,5
2020-02-25,0.004968962951036082,0.8,5
2020-02-26,-0.00440638555777666,0.6,5
2020-02-27,0.015759058530024704,0.8,5
2020-02-28,0.02207471423723184,0.8,5
2020-03-02,-0.016864067714046006,0.4,5
2020-03-03,0.0249435746839759,0.6,5
2020-03-04,-0.14268598466787874,0.0,2
2020-03-05,-0.13667488570887687,0.0,2
2020-03-06,0.0560183902560627,1.0,1
2020-03-09,0.02568540371487693,0.8,5
2020-03-10,-0.056111973461434504,0.4,5
2020-03-11,-0.12059651529537178,0.0,5
2020-03-12,-0.09510952261261471,0.2,5
2020-03-13,-0.0671097127466356,0.2,5
2020-03-16,0.010054269431616514,0.6,5
2020-03-17,0.05186417381551607,0.8,5
2020-03-18,0.13682757577474103,1.0,5
2020-03-19,0.2330577953681437,0.8,5
2020-03-20,0.07083550025148204,1.0,5
2020-03-23,0.08630190801082138,1.0,5
2020-03-24,0.035192826917328945,1.0,5
2020-03-25,0.058073189264636095,1.0,5
2020-03-26,0.11627721248445122,1.0,1
2020-03-27,0.11098258779097359,1.0,1
2020-04-01,0.040043347062990176,1.0,4
2020-04-02,0.07954583252989918,1.0,5
2020-04-03,0.05472546291826012,1.0,5
2020-04-15,-0.012804205734259999,0.0,1
2020-04-16,0.018113224184876986,0.75,4
2020-04-21,0.002843700476508326,0.4,5
2020-04-29,0.028131034695785262,1.0,1
2020-04-30,0.012436515971116946,1.0,1
2020-05-01,-0.03396149698786366,0.0,1
2020-05-04,-0.01783012876206458,0.0,1
2020-05-06,-0.029264349098599762,0.2,5
2020-05-13,0.045179171695919784,1.0,1
2020-05-14,0.03743564622851925,1.0,1
2020-05-15,0.01732839122722435,0.5,2
2020-06-11,0.006894328905181579,0.8,5
2020-06-12,-0.008090160105413103,0.4,5
2020-06-15,-0.012870745618162949,0.4,5
2020-06-16,0.004856511126628327,1.0,1
2020-06-17,0.018783988762651194,1.0,1
2020-06-24,-0.007423580776411365,0.0,1
2020-06-25,-0.006481914039658809,0.0,1
2020-06-26,-0.017530028263848196,0.0,1
2020-07-16,0.009568848642492966,1.0,1
2020-07-17,0.006640803911598325,0.5,2
2020-07-24,-0.07410953798776998,0.0,1
2020-07-27,-0.04285321136966913,0.0,1
2020-07-28,-0.029913962720909626,0.0,1
2020-07-29,-0.0038172095668431716,0.0,1
2020-07-30,-0.019924301016997825,0.0,1
2020-08-03,0.05271179967495532,1.0,1
